"state","age_group","race","death_2019","population_2019","covid_deaths","total_deaths_pandemic","annual_death_pandemic","prop_higher_education","fips","mean_household_income","private_insurance","public_insurance","no_insurance","mortrate_2019","mortrate_covid","mortrate_change","income","education","income_decile","education_decile"
"AR","85+ years","Black or African American",637,5532,263,2538,692.2,24.3,5,73346,60,43.8,8.7,11514.8228488792,12512.6536514823,997.830802603037,73346,24.3,1,1
"AR","85+ years","White",7640,53066,2660,30234,8245.6,24.3,5,73346,60,43.8,8.7,14397.1657935401,15538.3861606302,1141.22036709004,73346,24.3,1,1
"CA","< 1 year","Black or African American",225,30106,NA,710,193.6,35.3,6,119149,64.3,38,7.2,747.35933036604,643.061183817179,-104.298146548861,119149,35.3,9,7
"CA","< 1 year","White",1318,329981,10,1239,337.9,35.3,6,119149,64.3,38,7.2,399.416936126625,102.399835142023,-297.017100984602,119149,35.3,9,7
"CA","1-4 years","Black or African American",28,111743,NA,116,31.6,35.3,6,119149,64.3,38,7.2,25.0574980088238,28.279176324244,3.2216783154202,119149,35.3,9,7
"CA","1-4 years","White",218,1390788,NA,322,87.8,35.3,6,119149,64.3,38,7.2,15.6745672237609,6.31296790021197,-9.36159932354895,119149,35.3,9,7
"CA","5-14 years","Black or African American",43,315191,NA,208,56.7,35.3,6,119149,64.3,38,7.2,13.6425215186982,17.9890923281439,4.3465708094457,119149,35.3,9,7
"CA","5-14 years","White",372,3604519,NA,449,122.5,35.3,6,119149,64.3,38,7.2,10.32037839168,3.39851170156129,-6.92186669011871,119149,35.3,9,7
"CA","15-24 years","Black or African American",327,351150,24,1638,446.7,35.3,6,119149,64.3,38,7.2,93.122597180692,127.210593763349,34.087996582657,119149,35.3,9,7
"CA","15-24 years","White",2188,3708968,60,3338,910.4,35.3,6,119149,64.3,38,7.2,58.9921509163735,24.5459114233393,-34.4462394930342,119149,35.3,9,7
"CA","25-34 years","Black or African American",681,436139,136,3687,1005.5,35.3,6,119149,64.3,38,7.2,156.142881053976,230.545766372647,74.4028853186713,119149,35.3,9,7
"CA","25-34 years","White",4299,4215946,260,9620,2623.6,35.3,6,119149,64.3,38,7.2,101.969996769408,62.2303985866992,-39.7395981827092,119149,35.3,9,7
"CA","35-44 years","Black or African American",926,338793,259,4866,1327.1,35.3,6,119149,64.3,38,7.2,273.323238673762,391.714114518305,118.390875844542,119149,35.3,9,7
